Pipeline,Model,Train R2,Test R2,Test R2 Std,Test RMSE,Test MAE,Best Params
pipe5_ratio_scaled,XGBoost,0.8711833838251011,0.7150728608261705,0.08518969016464227,0.3865315928491984,0.19395459571067497,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe2_no_grouper,XGBoost,0.8507586140405856,0.7129312132497356,0.06354361387812998,0.38957560570543176,0.19528579778149763,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe1_no_scaling,HistGB,0.7806085426395166,0.7042365926609591,0.06870805120468844,0.3953836625501509,0.2246942165246541,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__max_iter': 500}"
pipe1_no_scaling,RandomForest,0.8366419285150624,0.6982132480845371,0.07927019334418674,0.3990461854618446,0.21714713596129456,"{'model__max_depth': 20, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe7_rare_moderate,RandomForest,0.825310719521372,0.6966505815974644,0.08067440281757084,0.4002022773878641,0.21269809404024861,"{'model__max_depth': 15, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe6_poly,RandomForest,0.8398829758841153,0.6933406613835963,0.07272649673777104,0.4028684243891184,0.2159904003838246,"{'model__max_depth': 15, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}"
pipe6_poly,HistGB,0.8147043348596771,0.6893267691984108,0.0753690313027132,0.40535011181573377,0.23024565999896618,"{'model__learning_rate': 0.03, 'model__max_depth': 8, 'model__max_iter': 300}"
pipe7_rare_moderate,HistGB,0.7702907472913979,0.686943852931363,0.07109574859663778,0.4069698812272852,0.23181210285309714,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 500}"
pipe3_with_grouper,RandomForest,0.7621983993177129,0.6732266156666276,0.07264092976301735,0.4160022431152762,0.23844242849183034,"{'model__max_depth': 20, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
pipe7_rare_moderate,XGBoost,0.8266226616744994,0.6645080433430569,0.06702892964214427,0.42153954026090457,0.23040561142332203,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe3_with_grouper,HistGB,0.721230935313943,0.6631433689886366,0.06399942905469927,0.42265801893285754,0.2533720344263727,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__max_iter': 300}"
pipe6_poly,XGBoost,0.878862131754029,0.6473284114220682,0.07312378392987777,0.4316107528061339,0.23150276718067198,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
pipe3_with_grouper,XGBoost,0.7692118061880364,0.6047723734979689,0.1260627645487346,0.45514425966523187,0.25406876569687736,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 300}"
